user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
74027,"","",2022-03-01,2022-03-31,3468009,3468009,3468009,3500000,monthly,IDR,approved,2022-04-11 07:31:37
74138,"","",2022-03-01,2022-03-31,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-04-11 07:33:36
74025,"","",2022-03-01,2022-03-31,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-04-11 07:34:40
83902,"","",2022-03-01,2022-03-31,2834703,2834703,2834703,2500000,monthly,IDR,approved,2022-04-11 07:35:58
88348,"","",2022-03-01,2022-03-31,2033814,2033814,2033814,2000000,monthly,IDR,approved,2022-04-11 07:38:27
88357,"","",2022-03-01,2022-03-31,1455000,1455000,1455000,1500000,monthly,IDR,approved,2022-04-11 07:39:57
88347,"","",2022-03-01,2022-03-31,2024854,2024854,2024854,2000000,monthly,IDR,approved,2022-04-11 07:45:18
74053,"","",2022-03-01,2022-03-31,3918147,3918147,3918147,3500000,monthly,IDR,approved,2022-04-11 07:46:56
84541,"","",2022-03-01,2022-03-31,4162127,4162127,4162127,3500000,monthly,IDR,approved,2022-04-11 07:48:51
87864,"","",2022-03-01,2022-03-31,4472930,4472930,4472930,3500000,monthly,IDR,approved,2022-04-11 07:50:34
74050,"","",2022-03-01,2022-03-31,2533401.74,2533401.74,2533401.74,1800000,monthly,IDR,approved,2022-04-11 07:52:18
74052,"","",2022-03-01,2022-03-31,0,0,0,1800000,monthly,IDR,approved,2022-04-11 07:59:16
74049,"","",2022-03-01,2022-03-31,3041431,3041431,3041431,1800000,monthly,IDR,approved,2022-04-11 08:00:10
79738,"","",2022-03-01,2022-03-31,2563402.73,2563402.73,2563402.73,1800000,monthly,IDR,approved,2022-04-11 08:04:15
79765,"","",2022-03-01,2022-03-31,3293401.74,3293401.74,3293401.74,1800000,monthly,IDR,approved,2022-04-11 08:07:36
74461,"","",2022-03-01,2022-03-31,3125579,3125579,3125579,3000000,monthly,IDR,approved,2022-04-11 08:14:22
74042,"","",2022-03-01,2022-03-31,2840870.74,2840870.74,2840870.74,2750000,monthly,IDR,approved,2022-04-11 08:16:55
74556,"","",2022-03-01,2022-03-31,1843828,1843828,1843828,1800000,monthly,IDR,approved,2022-04-11 08:17:42
83884,"","",2022-03-01,2022-03-31,3264587,3264587,3264587,3000000,monthly,IDR,approved,2022-04-11 08:19:18
83885,"","",2022-03-01,2022-03-31,3233910,3233910,3233910,3000000,monthly,IDR,approved,2022-04-11 08:21:26
74465,"","",2022-03-01,2022-03-31,1434587,1434587,1434587,45000,daily,IDR,approved,2022-04-11 08:24:49
74639,"","",2022-03-01,2022-03-31,621633,621633,621633,40000,daily,IDR,approved,2022-04-11 08:27:16
74054,"","",2022-03-01,2022-03-31,1366983,1366983,1366983,45000,daily,IDR,approved,2022-04-11 08:28:05
83893,"","",2022-03-01,2022-03-31,,,,65000,daily,,draft,2022-04-11 08:32:13
83888,"","",2022-03-01,2022-03-31,1340017,1340017,1340017,65000,daily,IDR,approved,2022-04-11 08:37:25
90377,"","",2022-03-01,2022-03-31,750000,750000,750000,750000,monthly,IDR,approved,2022-04-11 08:38:58
91338,"","",2022-03-01,2022-03-31,797083,797083,797083,65000,daily,IDR,approved,2022-04-11 08:39:13
90862,"","",2022-03-01,2022-03-31,1731353,1731353,1731353,65000,daily,IDR,approved,2022-04-11 08:44:08
92930,"","",2022-03-01,2022-03-31,507980,507980,507980,55000,daily,IDR,approved,2022-04-11 08:45:32
90711,"","",2022-03-01,2022-03-31,1447083,1447083,1447083,65000,daily,IDR,approved,2022-04-11 09:38:51
75218,"","",2022-04-01,2022-04-30,595286,595286,595286,15000,hourly,IDR,approved,2022-05-01 14:22:06
84490,"","",2022-04-01,2022-04-30,0,0,0,120000,daily,IDR,approved,2022-05-05 03:51:03
74052,"","",2022-04-01,2022-04-30,2002592,2002592,2002592,1800000,monthly,IDR,approved,2022-05-05 03:51:15
75963,"","",2022-04-01,2022-04-30,351000,351000,351000,120000,daily,IDR,approved,2022-05-05 03:54:20
74135,"","",2022-04-01,2022-04-30,0,0,0,0,hourly,IDR,approved,2022-05-05 03:55:06
83884,"","",2022-04-01,2022-04-30,3057653,3057653,3057653,3000000,monthly,IDR,approved,2022-05-05 03:55:13
90862,"","",2022-04-01,2022-04-30,100000,100000,100000,65000,daily,IDR,approved,2022-05-05 03:56:13
75983,"","",2022-04-01,2022-04-30,0,0,0,120000,daily,IDR,approved,2022-05-05 03:56:53
75955,"","",2022-04-01,2022-04-30,0,0,0,120000,daily,IDR,approved,2022-05-05 03:57:30
74745,"","",2022-04-01,2022-04-30,0,0,0,0,daily,IDR,approved,2022-05-05 03:58:12
74138,"","",2022-04-01,2022-04-30,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-05-05 03:58:19
85877,"","",2022-04-01,2022-04-30,117000,117000,117000,120000,daily,IDR,approved,2022-05-05 03:59:09
74008,"","",2022-04-01,2022-04-30,0,0,0,0,monthly,IDR,approved,2022-05-05 03:59:56
74062,"","",2022-04-01,2022-04-30,0,0,0,0,monthly,IDR,approved,2022-05-05 04:00:06
83893,"","",2022-04-01,2022-04-30,150000,150000,150000,65000,daily,IDR,approved,2022-05-05 04:00:23
74025,"","",2022-04-01,2022-04-30,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-05-05 04:02:42
90710,"","",2022-04-01,2022-04-30,0,0,0,65000,daily,IDR,approved,2022-05-05 04:03:15
74027,"","",2022-04-01,2022-04-30,3410000,3410000,3410000,3500000,monthly,IDR,approved,2022-05-05 04:03:23
81587,"","",2022-04-01,2022-04-30,0,0,0,120000,daily,IDR,approved,2022-05-05 04:06:32
79738,"","",2022-04-01,2022-04-30,1990202.74,1990202.74,1990202.74,1800000,monthly,IDR,approved,2022-05-05 04:33:38
90377,"","",2022-04-01,2022-04-30,1662500,1662500,1662500,1500000,monthly,IDR,approved,2022-05-05 04:53:50
91338,"","",2022-04-01,2022-04-30,0,0,0,65000,daily,IDR,approved,2022-05-05 04:58:27
79765,"","",2022-04-01,2022-04-30,2441557.74,2441557.74,2441557.74,1800000,monthly,IDR,approved,2022-05-05 05:00:01
84509,"","",2022-04-01,2022-04-30,0,0,0,9000,hourly,IDR,approved,2022-05-05 05:01:36
92930,"","",2022-04-01,2022-04-30,770000,770000,770000,55000,daily,IDR,approved,2022-05-05 05:03:05
87864,"","",2022-04-01,2022-04-30,4187381,4187381,4187381,3500000,monthly,IDR,approved,2022-05-05 05:03:57
74050,"","",2022-04-01,2022-04-30,1926548.74,1926548.74,1926548.74,1800000,monthly,IDR,approved,2022-05-05 05:06:54
84932,"","",2022-04-01,2022-04-30,351000,351000,351000,120000,daily,IDR,approved,2022-05-05 05:10:01
84699,"","",2022-04-01,2022-04-30,0,0,0,9000,hourly,IDR,approved,2022-05-05 05:10:42
90711,"","",2022-04-01,2022-04-30,1261159,1261159,1261159,65000,daily,IDR,approved,2022-05-05 05:10:59
88348,"","",2022-04-01,2022-04-30,2069295,2069295,2069295,2000000,monthly,IDR,approved,2022-05-05 05:12:53
74049,"","",2022-04-01,2022-04-30,1867178,1867178,1867178,1800000,monthly,IDR,approved,2022-05-05 05:14:15
74465,"","",2022-04-01,2022-04-30,1090251,1090251,1090251,45000,daily,IDR,approved,2022-05-05 05:16:21
93607,"","",2022-04-01,2022-04-30,234000,234000,234000,120000,daily,IDR,approved,2022-05-05 05:17:09
83888,"","",2022-04-01,2022-04-30,1686109,1686109,1686109,65000,daily,IDR,approved,2022-05-05 05:17:48
74053,"","",2022-04-01,2022-04-30,3610379,3610379,3610379,3500000,monthly,IDR,approved,2022-05-05 05:20:09
83902,"","",2022-04-01,2022-04-30,2758288,2758288,2758288,2810000,monthly,IDR,approved,2022-05-05 05:31:08
84541,"","",2022-04-01,2022-04-30,3988507,3988507,3988507,3500000,monthly,IDR,approved,2022-05-05 05:31:52
83885,"","",2022-04-01,2022-04-30,3100000,3100000,3100000,3000000,monthly,IDR,approved,2022-05-05 05:33:36
74461,"","",2022-04-01,2022-04-30,3243554,3243554,3243554,3000000,monthly,IDR,approved,2022-05-05 05:34:26
74639,"","",2022-04-01,2022-04-30,600000,600000,600000,40000,daily,IDR,approved,2022-05-05 05:36:10
74042,"","",2022-04-01,2022-04-30,2837882.74,2837882.74,2837882.74,2750000,monthly,IDR,approved,2022-05-05 05:36:44
74556,"","",2022-04-01,2022-04-30,1815912,1815912,1815912,1800000,monthly,IDR,approved,2022-05-05 05:37:07
88357,"","",2022-04-01,2022-04-30,1395000,1395000,1395000,1500000,monthly,IDR,approved,2022-05-05 05:37:54
75834,"","",2022-04-01,2022-04-30,0,0,0,120000,daily,IDR,approved,2022-05-05 05:38:43
74054,"","",2022-04-01,2022-04-30,1043228,1043228,1043228,45000,daily,IDR,approved,2022-05-05 05:39:00
